,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
152,dunedin,97.0,NZ,1594266337.0,76.0,-45.87,170.5,9.44,2.68
153,khovu-aksy,5.0,RU,1594266411.0,55.0,51.13,93.6,17.75,3.91
154,hualmay,30.0,PE,1594266861.0,85.0,-11.1,-77.61,15.61,3.3
155,goderich,0.0,CA,1594266861.0,83.0,43.75,-81.72,20.56,0.97
156,mountain home,1.0,US,1594266607.0,22.0,43.13,-115.69,25.0,6.2
157,tasiilaq,5.0,GL,1594266288.0,86.0,65.61,-37.64,5.0,3.6
158,shizunai,49.0,JP,1594266861.0,73.0,42.33,142.37,20.24,3.11
159,verkhnevilyuysk,91.0,RU,1594266862.0,34.0,63.45,120.32,24.99,4.58
160,yaan,100.0,NG,1594266395.0,95.0,7.38,8.57,22.61,1.54
161,manado,40.0,ID,1594266582.0,62.0,1.49,124.85,31.0,2.1
162,bambous virieux,75.0,MU,1594266316.0,73.0,-20.34,57.76,21.0,7.7
163,dingle,67.0,PH,1594266292.0,61.0,11.0,122.67,31.58,1.58
164,teya,34.0,RU,1594266863.0,47.0,60.38,92.63,18.05,4.62
165,namibe,0.0,AO,1594266401.0,73.0,-15.2,12.15,18.47,2.11
166,isabela,40.0,PH,1594266863.0,70.0,6.71,121.97,31.0,4.6
167,port elizabeth,33.0,ZA,1594266305.0,48.0,-33.92,25.57,17.0,3.6
168,saint-philippe,45.0,RE,1594266324.0,63.0,-21.36,55.77,20.0,2.1
169,para de minas,0.0,BR,1594266863.0,87.0,-19.86,-44.61,14.0,0.33
170,boralday,100.0,KZ,1594266864.0,30.0,43.36,76.86,27.08,1.72
171,ausa,19.0,ES,1594266864.0,94.0,41.93,2.25,18.33,0.18
172,vanavara,86.0,RU,1594266308.0,77.0,60.34,102.28,16.51,5.06
173,ponta do sol,20.0,PT,1594266293.0,64.0,32.67,-17.1,20.0,8.2
174,sovetskiy,3.0,RU,1594266864.0,47.0,61.36,63.58,29.68,2.32
175,los llanos de aridane,0.0,ES,1594266865.0,88.0,28.66,-17.92,21.0,7.7
176,poso,99.0,ID,1594266865.0,84.0,-1.4,120.75,25.4,2.28
177,ryotsu,75.0,JP,1594266865.0,100.0,38.08,138.43,22.0,2.6
178,lima,90.0,PE,1594266747.0,87.0,-12.04,-77.03,16.0,3.6
179,broken hill,100.0,AU,1594266317.0,44.0,-31.95,141.43,14.0,4.1
180,marzuq,86.0,YE,1594266866.0,43.0,14.4,46.47,28.22,3.05
181,elliot,29.0,ZA,1594266866.0,69.0,-31.33,27.85,6.55,4.33
182,zhigansk,0.0,RU,1594266320.0,37.0,66.77,123.37,20.23,4.93
183,laguna,1.0,US,1594266293.0,32.0,38.42,-121.42,29.0,3.1
184,ahuimanu,20.0,US,1594266866.0,54.0,21.44,-157.84,29.0,5.1
185,kruisfontein,46.0,ZA,1594266867.0,37.0,-34.0,24.73,16.72,6.6
186,zherdevka,100.0,RU,1594266867.0,85.0,51.85,41.46,21.38,3.03
187,lagoa,64.0,PT,1594266034.0,80.0,39.05,-27.98,20.05,2.77
188,riviere-au-renard,75.0,CA,1594266402.0,100.0,49.0,-64.4,16.0,0.39
189,lebu,100.0,CL,1594266333.0,79.0,-37.62,-73.65,9.13,6.51
190,saint anthony,1.0,US,1594266868.0,55.0,45.02,-93.22,31.0,3.6
191,rio grande,100.0,BR,1594266868.0,86.0,-32.03,-52.1,9.71,8.96
192,sisimiut,100.0,GL,1594266868.0,91.0,66.94,-53.67,7.76,1.92
193,moindou,1.0,NC,1594266869.0,60.0,-21.69,165.68,23.0,8.7
194,tautira,20.0,PF,1594266869.0,65.0,-17.73,-149.15,26.0,3.6
195,kloulklubed,75.0,PW,1594266329.0,66.0,7.04,134.26,31.0,4.1
196,zhanakorgan,0.0,KZ,1594266869.0,18.0,43.91,67.25,33.82,4.83
197,khani,90.0,GE,1594266869.0,94.0,41.96,42.96,22.0,1.0
198,blythe,20.0,US,1594266869.0,6.0,33.61,-114.6,40.0,5.1
199,rapid valley,90.0,US,1594266870.0,53.0,44.06,-103.15,25.0,6.2
200,nikolskoye,81.0,RU,1594266291.0,87.0,59.7,30.79,13.33,2.0
201,mitu,67.0,CO,1594266870.0,92.0,1.2,-70.17,22.22,0.67
202,mao,46.0,ES,1594266870.0,83.0,39.89,4.27,21.0,3.6
203,chalmette,1.0,US,1594266870.0,74.0,29.94,-89.96,29.0,3.6
204,zvishavane,20.0,ZW,1594266871.0,92.0,-20.33,30.07,10.13,1.96
205,saint-raymond,5.0,CA,1594266750.0,83.0,45.47,-73.61,25.0,1.0
206,lenoir,90.0,US,1594266872.0,100.0,35.23,-77.65,24.44,3.1
